Time,Poke1,Poke2,Line1,Line2
0.07,False,False,False,False
0.17,False,False,False,False
0.27,False,False,False,False
0.37,False,False,False,False
0.47,False,False,False,False
0.57,False,False,False,False
0.68,False,False,False,False
0.78,False,False,False,False
0.88,False,False,False,False
0.98,False,False,False,False
1.08,False,False,False,False
1.18,False,False,False,False
1.28,False,False,False,False
1.38,False,False,False,False
1.48,False,False,False,False
1.58,False,False,False,False
1.68,False,False,False,False
1.78,False,False,False,False
1.88,False,False,False,False
1.98,False,False,False,False
2.08,False,False,False,False
2.18,False,False,False,False
2.28,False,False,False,False
2.38,False,False,False,False
2.48,False,False,False,False
2.58,False,False,False,False
2.68,False,False,False,False
2.78,False,False,False,False
2.88,False,False,False,False
2.98,False,False,False,False
3.08,False,False,False,False
3.18,False,False,False,False
3.28,False,False,False,False
3.38,False,False,False,False
3.48,False,False,False,False
3.58,False,False,False,False
3.68,False,False,False,False
3.78,False,False,False,False
3.88,False,False,False,False
3.98,False,False,False,False
4.09,False,False,False,False
4.19,False,False,False,False
4.29,False,False,False,False
4.39,False,False,False,False
4.49,False,False,False,False
4.59,False,False,False,False
4.69,False,False,False,False
4.79,False,False,False,False
4.89,False,False,False,False
4.99,False,False,False,False
5.09,False,False,False,False
5.19,False,False,False,False
5.29,False,False,False,False
5.39,False,False,False,False
5.49,False,False,False,False
5.59,False,False,False,False
5.69,False,False,False,False
5.79,False,False,False,False
5.89,False,False,False,False
5.99,False,False,False,False
6.09,False,False,False,False
6.19,False,False,False,False
6.29,False,False,False,False
6.39,False,False,False,False
6.49,False,False,False,False
6.59,False,False,False,False
6.69,False,False,False,False
6.8,False,False,False,False
6.9,False,False,False,False
7.0,False,False,False,False
7.1,False,False,False,False
7.2,True,False,False,False
7.3,True,False,False,False
7.4,True,False,False,False
7.5,True,False,False,False
7.6,True,False,False,False
7.7,True,False,False,False
7.8,True,False,False,False
7.9,True,False,False,False
8.0,True,False,False,False
8.1,True,False,False,False
8.2,True,False,False,False
8.3,True,False,False,False
8.4,True,False,False,False
8.5,True,False,False,False
8.6,False,False,False,False
8.7,False,False,False,False
8.8,False,False,False,False
8.9,False,False,False,False
9.0,False,False,False,False
9.1,False,False,False,False
9.21,False,False,False,False
9.31,False,False,False,False
9.41,False,False,False,False
9.51,False,False,False,False
9.61,False,False,False,False
9.71,False,False,False,False
9.81,False,False,False,False
9.91,False,False,False,False
10.01,False,False,False,False
10.11,False,False,False,False
10.21,False,False,False,False
10.31,False,False,False,False
10.41,False,False,False,False
10.51,False,False,False,False
10.61,False,False,False,False
10.71,False,False,False,False
10.82,False,False,False,False
10.92,False,False,False,False
11.02,False,False,False,False
11.12,False,False,False,False
11.22,False,False,False,False
11.32,False,False,False,False
11.42,False,False,False,False
11.52,False,False,False,False
