Time,Poke1,Poke2,Line1,Line2
0.06,False,False,False,False
0.17,False,False,False,False
0.27,False,False,False,False
0.37,False,False,False,False
0.47,False,False,False,False
0.57,False,False,False,False
0.67,False,False,False,False
0.77,True,False,False,False
0.87,True,False,False,False
0.97,True,False,False,False
1.07,True,False,False,False
1.17,True,False,False,False
1.27,False,False,False,False
1.37,False,False,False,False
1.47,False,False,False,False
1.57,False,False,False,False
1.67,False,False,False,False
1.77,False,False,False,False
1.87,False,False,False,False
1.97,False,False,False,False
2.07,False,False,False,False
2.17,False,False,False,False
2.27,False,False,False,False
2.37,False,False,False,False
2.47,False,False,False,False
2.57,False,False,False,False
2.67,False,False,False,False
2.77,False,False,False,False
2.87,False,False,False,False
2.97,False,False,False,False
3.07,False,False,False,False
3.17,False,False,False,False
3.28,False,False,False,False
3.38,False,False,False,False
3.48,False,False,False,False
3.58,False,False,False,False
3.68,False,False,False,False
3.78,False,False,False,False
3.88,False,False,False,False
3.98,False,False,False,False
4.08,False,False,False,False
4.18,False,False,False,False
4.28,False,False,False,False
4.38,False,False,False,False
4.48,False,False,False,False
4.58,False,False,False,False
4.68,False,False,False,False
4.78,False,False,False,False
4.88,False,False,False,False
4.98,False,False,False,False
5.08,False,False,False,False
5.18,False,False,False,False
5.28,False,False,False,False
5.38,False,False,False,False
5.48,False,False,False,False
5.58,False,False,False,False
5.68,False,False,False,False
5.78,False,False,False,False
5.88,False,False,False,False
5.98,False,False,False,False
6.08,False,False,False,False
6.19,False,False,False,False
6.29,False,False,False,False
6.39,False,False,False,False
6.49,False,False,False,False
6.59,False,False,False,False
6.69,False,False,False,False
6.79,False,False,False,False
6.89,False,False,False,False
6.99,False,False,False,False
7.09,False,False,False,False
7.19,False,False,False,False
7.29,True,False,False,False
7.39,True,False,False,False
7.49,True,False,False,False
7.59,True,False,False,False
7.69,True,False,False,False
7.79,True,False,False,False
7.89,True,False,False,False
7.99,False,False,False,False
8.09,False,False,False,False
8.19,False,False,False,False
8.29,False,False,False,False
8.39,False,False,False,False
8.49,False,False,False,False
8.59,False,False,False,False
8.69,False,False,False,False
8.79,True,False,False,False
8.89,True,False,False,False
9.0,True,False,False,False
9.1,True,False,False,False
9.2,True,False,False,False
9.3,True,False,False,False
9.4,True,False,False,False
9.5,True,False,False,False
9.6,True,False,False,False
9.7,True,False,False,False
9.8,False,False,False,False
9.9,False,False,False,False
10.0,False,False,False,False
10.1,False,False,False,False
10.2,False,False,False,False
10.3,False,False,False,False
10.4,False,False,False,False
10.5,False,False,False,False
10.6,False,False,False,False
10.7,False,False,False,False
10.8,False,False,False,False
10.9,False,False,False,False
11.0,True,False,False,False
11.1,True,False,False,False
11.21,True,False,False,False
11.31,True,False,False,False
11.41,False,False,False,False
11.51,True,False,False,False
11.61,False,False,False,False
11.71,False,False,False,False
11.81,False,False,False,False
11.91,False,False,False,False
12.01,False,False,False,False
12.11,False,False,False,False
12.21,False,False,False,False
12.31,False,False,False,False
12.41,False,False,False,False
12.51,False,False,False,False
12.61,False,False,False,False
12.71,False,False,False,False
12.81,False,False,False,False
12.91,False,False,False,False
13.01,False,False,False,False
13.11,False,False,False,False
13.21,False,False,False,False
13.31,False,False,False,False
13.41,False,False,False,False
13.51,False,False,False,False
13.61,False,False,False,False
13.71,False,False,False,False
13.81,False,False,False,False
13.91,False,False,False,False
14.01,False,False,False,False
14.11,False,False,False,False
14.21,False,False,False,False
14.32,False,True,False,False
14.42,False,True,False,False
14.52,False,False,False,False
14.62,False,False,False,False
14.72,False,False,False,False
14.82,False,False,False,False
14.92,False,False,False,False
15.02,False,False,False,False
15.12,False,False,False,False
15.22,False,False,False,False
15.32,False,False,False,False
